#SampleID	BarcodeSequence	LinkerPrimerSequence	DMM_L6	Dataset	Ethnicity	Category	Description
SAMEA4545280	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545281	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545282	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545283	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545284	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545285	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545286	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545287	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545288	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545289	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545290	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545291	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545292	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545293	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545294	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545295	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545296	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545297	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545298	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545299	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545300	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
