	shannon
ERR526291	5.317856578439738
ERR527006	4.635776496697455
ERR527007	6.567789135636843
ERR527008	4.180623934567444
ERR527009	4.105044489136297
ERR527010	5.320956420052331
ERR527011	5.098708171567138
ERR527012	5.018951830783207
ERR527013	3.9025305583296763
ERR527014	4.144900484980009
ERR527015	2.9533291941043234
ERR527016	3.0091037484671173
ERR527017	4.642336769661085
ERR527018	3.2445095002432356
ERR527019	5.256146737379377
ERR527020	5.221763097757045
ERR527021	5.208230150025304
ERR527022	5.148707811883151
ERR527023	3.8091633164901353
ERR527024	3.054930397245463
ERR527025	5.238135286479143
ERR527026	5.624006629186154
ERR527027	5.124117382138981
ERR527028	6.398787445401102
ERR527029	5.019823070525824
ERR527030	5.1532114212738955
ERR527031	6.337814451569189
ERR527032	4.869972318691444
ERR527033	6.199502577234082
ERR527034	4.523393084363079
ERR527035	4.063300401136052
ERR527036	5.580721736676305
ERR527037	5.387133968257378
ERR527038	5.680154502918857
ERR527039	5.949175567377785
ERR527040	3.0696309619869733
ERR527041	5.892012582657698
ERR527042	5.5550085872664825
ERR527043	2.238744264131945
ERR527044	6.553087592765413
ERR527045	3.44809790991538
ERR527046	4.9196053096652514
ERR527047	5.627652756211075
ERR527048	5.207979261603952
ERR527049	4.5531980143494035
ERR527050	4.698368759299031
ERR527051	3.931390624001694
ERR527052	4.910295902307333
ERR527053	5.248027826211171
ERR527054	5.710875988850711
ERR527055	5.76631532488676
ERR527056	5.011825017774735
ERR527057	4.944485674465992
ERR527058	6.272893830772644
ERR527059	6.279300172586575
ERR527060	4.52513715141632
ERR527061	4.660376950235724
ERR527062	5.840878601251082
ERR527063	4.611459025691552
ERR527064	4.2217238428222545
ERR527065	5.554749416555978
ERR527066	4.490458056988067
ERR527067	4.635694564309524
ERR527068	3.0033530303114904
ERR527069	3.0939123452587247
ERR527070	5.191894671310905
ERR527071	5.739779878839151
ERR527072	5.2831449751544115
ERR527073	5.725562585355327
ERR527074	4.377714670408036
ERR527075	4.26215229389161
ERR527076	5.001018272318314
ERR527077	4.291846606202042
ERR527078	5.450272409541616
ERR527079	7.028695899432391
ERR527080	5.571610122117449
ERR527081	6.970602371022339
ERR527082	5.76937388902301
