SampleID,PCo1,PCo2,PCo3,DMM_L6,Dataset,Shannon,Ethnicity_initial,Ethnicity,Group,SuperGroup,Prevotella_copri,Bacteroidaceae,Prevotellaceae,Ruminococcaceae,Lachnospiraceae,Clostridiales fam. incertae sedis,Clostridiaceae,Unclassified,Eubacteriaceae,Rikenellaceae,Firmicutes fam. incertae sedis,Oscillospiraceae,Veillonellaceae,Tannerellaceae,Bifidobacteriaceae,Bacteroidales fam. incertae sedis,Proteobacteria fam. [Acetobacteraceae/Enterobacteriaceae],Selenomonadaceae,Sutterellaceae,Firmicutes fam. [Lachnospiraceae/Lactobacillaceae],Coriobacteriaceae,Bacteria fam. incertae sedis,Acidaminococcaceae,Erysipelotrichaceae,Firmicutes fam. [Carnobacteriaceae/Acidaminococcaceae],Streptococcaceae,Akkermansiaceae,Barnesiellaceae
SAMEA4545280,0.061261689,0.054595694,0.131781047,Cluster 1,PRJEB17632,6.082026442,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,8.43E-05,0.066587504,0.0000843,0.226866815,0.055045392,0.279985904,0.128525034,0.051744157,0.00861101,0.071346049,0.006065318,0.015179695,0,0.007740394,0.011015062,0.004607078,0.002232188,0.003457089,0.008505601,0,0,0.001464886,0.013369344,0.005394196,0,0.000807353,0.002163492,0
SAMEA4545281,0.138497168,0.008608455,0.133347351,Cluster 1,PRJEB17632,6.216875608,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,8.18E-05,0.139676093,0.000185455,0.173720406,0.028265774,0.110208258,0.288870331,0.049167086,0.010978511,0.025882387,0.058592981,0.005606504,0.0000269,0.003736504,0.007009213,0.001489028,0.0000412,0.008439856,0.002564614,0,0,0,0.0129175,0.009446423,0,0.000281539,0.016445656,0
SAMEA4545282,-0.197484064,0.074203842,0.213929716,Cluster 3,PRJEB17632,6.393265987,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 3,0.035808765,0.00422728,0.077314573,0.165237275,0.105718118,0.140714402,0.139217717,0.046741818,0.014154298,0,0.098672092,0.012398154,0.005390142,0.00024856,0.0000083,0.031359124,0.000549084,0,0.000788534,0.001220455,0.001537123,0.004809455,0.003420573,0.004396769,0,0.000346322,0.05984064,0
SAMEA4545283,-0.158505729,0.110322387,0.229977574,Cluster 1,PRJEB17632,6.455080487,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,0.007836404,0.018046659,0.020746525,0.131117091,0.073636658,0.192639274,0.103520291,0.06964611,0.043629987,0,0.0515741,0.012019931,0.017876677,0.00068956,0.003423396,0.022531992,0.000328576,0,0.000415404,0.01090664,0.001937944,0.007772269,0.000696237,0.003573664,0,0.000444761,0.043764866,0
SAMEA4545284,-0.17991517,0.079411254,0.043379049,Cluster 1,PRJEB17632,6.243953606,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,0.097021862,0.020035816,0.098237613,0.142866886,0.117779455,0.13045833,0.242669548,0.050887491,0.012945168,0.00871264,0.038719515,0.019767915,0.012573157,0.002621973,0.0067865,0.000864623,0.000297604,0,0.005528542,0.0000906,0.00068244,0.012618317,0,0.00082925,0,0.001722067,0.000901021,0.002752881
SAMEA4545285,-0.021924147,0.157785181,0.160301936,Cluster 1,PRJEB17632,6.524078696,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,0.006177395,0.063839437,0.010080517,0.211452269,0.124775394,0.178810296,0.049199706,0.047941748,0.064249609,0.039507983,0.026796499,0.034351006,0.016931733,0.004649377,0.006371545,0.000767276,0.000743014,0,0.005881366,0.010102241,0.001716974,0.004815794,0,0.001702105,0,0.000261231,0.064756957,0.006668202
SAMEA4545286,-0.025375241,0.071583827,0.189530466,Cluster 1,PRJEB17632,6.234212043,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,0,0.031588148,0,0.210401462,0.04763542,0.290620379,0.053952769,0.044739643,0.00879197,0.089150083,0.020004823,0.05689881,0.000318689,0.001456896,0.004391246,0.020747785,0.000422815,0,0.012860696,0,0.005681088,0.00707415,0,0.001160455,0.010057432,0.0001395,0.041035944,0.012553602
SAMEA4545287,0.023111773,0.075196982,0.127916062,Cluster 1,PRJEB17632,6.366093725,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,0,0.06783204,0,0.176019921,0.093107787,0.283639843,0.062310898,0.041463311,0.032219851,0.034028831,0.030955294,0.028082599,0.000453275,0.000806802,0.003097506,0.046235234,0.0000661,0,0.008863698,0,0.006021964,0.007816358,0,0.002292703,0.00700794,0.000586887,0.012040048,0.003236143
SAMEA4545288,-0.012070098,0.039266203,0.094952194,Cluster 2,PRJEB17632,5.046536974,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 2,7.58E-05,0.163412989,0.009768686,0.124569297,0.033062392,0.08318955,0.024864888,0.027647396,0.082658942,0.028337022,0.006587676,0.018003739,0.086260754,0.01014325,0.014277288,0.24359042,0.000285158,0,0.002150118,0.008516305,0.0000273,0.002729348,0,0.000585931,0.0000148,0.000336994,0.00619251,0.003594539
SAMEA4545289,0.012584005,0.162762879,0.081817595,Cluster 1,PRJEB17632,5.852852432,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,0.000290863,0.048819219,0.00690063,0.177786023,0.139451103,0.096275633,0.075151338,0.048205223,0.018962936,0.030402627,0.004465205,0.030248929,0.02675097,0.013430499,0.001777304,0.214751823,0.002029753,0,0.003453219,0.001948183,0.00017507,0.015116042,0.000126944,0.000397419,0,0.00178474,0.00754588,0.00281515
SAMEA4545290,-0.211761096,-0.157491233,-0.065460299,Cluster 1,PRJEB17632,5.352200268,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 1,0.214035503,0.045244607,0.323442501,0.196539682,0.050312238,0.10646696,0.021881396,0.062059874,0.002733383,0.051814814,0.013079934,0.019550027,0,0.00684326,0.002132568,0,0.002847657,0,0.007479844,0.000595452,0.008504783,0.000795315,0.039253532,0.00176968,0,0.001045401,0.009825356,0.0055024
SAMEA4545291,0.107544405,-0.028929849,-0.018939386,Cluster 2,PRJEB17632,4.414436884,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 2,0.000193851,0.118615077,0.000193851,0.377104545,0.014575985,0.056137407,0.014804062,0.041442068,0,0.104623164,0,0.010110454,0.013304321,0.002146419,0.176841086,0,0.00117305,0,0.016455534,0,0,0.001261247,0,0.003471483,0,0.000164793,0,0
SAMEA4545292,-0.301527844,0.010284224,0.140339234,Cluster 3,PRJEB17632,6.58394196,Kazakh,Kazakh,Kazakh,Kazakh_Cluster 3,0.069058467,0.009330357,0.27884456,0.084850617,0.050949719,0.128381783,0.102567274,0.042894823,0.026161253,0.0000285,0.049841142,0.020205115,0.000420464,0,0.000461318,0.047242988,0.000188024,0,0.007738172,0,0.001027178,0.001529802,0.048392507,0.007040667,0,0.001389736,0,0
